title,balance,category,price
Solar Biology G7-8,0,ACC,475
Textbook of Animal Behaviour - 3E - Mandal,7,MAT,1485
Techniques and Methods in Biology - Ghatak,19,MAT,585
Teaching of Biological Sciences,7,CIV,54
Textbook of Immunology,37,CIV,35
Mega Biology for G9-10,0,BUS,1830
Biology Text G11,0,COM,1050
Biology Textbook G12,0,MAT,1050
Biology Text G10,0,EDU,975
Basic Biology G7-8,1,MAT,1350
Biology Text G9,0,ENG,105
Plasma Biology G11-12 Vol.I,70,CHE,572
Plasma Biology G9-10 Vol.I,16,DIC,150
Plasma Biology G9-10 Vol.II,33,MAT,239
Comet Biology G 7-8,0,MAT,125
Comet Biology G9-10,0,AGR,620
Comet Biology G11-12,8,CIV,56
The New Guide To Secondary School Biology G9-10,7,ACC,700
Vital Biology G7-12,0,BIO,100
Galaxy Biology G7-8,0,DIC,95
Extreme Baayoloojii Kutaa 7-8,0,ENG,75
Essential Biology G7-8,0,ENG,75
Kuraz biology G7-8,0,AGR,1250
Biology With Kit 9-10,0,BUS,1185
Textbook of BioPhysics,160,HIS,81.3
Gadaa Baayolojii G7-8,0,POE,15
Biology Text G8,0,FIC,75
Galaxy Barnoota Baayoloojii G7-8,0,FIC,120
Advanced Vital Biology Dictionary 55000,24,FIC,45
Nexus Biology G11-12 - Bitew Mulalem,0,CHI,66
Basic Pre-College Biology G 11-12,0,PSY,80
Textbook of Microbiology,0,FIC,15
Plasma biology G11-12 Vol.II,1,POL,121.8
Key Biology G11-12,0,LAN,25
Key Biology G11-12,0,LAN,25
Key Biology G7-8,14,LAN,25
Key Biology G 9-10,0,ORM,28
High School Biology G11-12,0,LAN,80
Vertebrate Animals Biology,0,LAN,80
Biology Advaced Supplementary Material Of National Examination,0,LAN,80
Essential Biology G 9-10,0,CHI,0
Essential Biology G11-12,0,GEN,0
Biotechnology,0,LAN,200
Evolution An Introduction,62,FIC,45.6
Mega Biology Grade 7-8,1,GEN,220
Worldwide Biology G 9-10,4,chart,35
Tooppii Baayoloojii K7-8,67,Used Book,200
Mega Item Bank in Biology G11-12,1,STO,39
Star Biology G11-12,1,CHI,20
Aloes & other Lilies of Ethiopia & Eritrea,0,PSY,45
Biological Modeling & Simulation - Schwartz,24,GEN,71
Enzyme Technology :Pacemaker of Biotechnology ---Kirishna Prasad,23,AGR,49
The Processes of Life An Introduction to Molecular Biology - Hunter,35,AGR,1250
Power Biology G7-8 - Anteneh(PHD)/Tesfaye(MA),39,AGR,1830
